Code,Last Price,EPS 24/Q3,EPS 25/Q3,Diff.,Diff. %,EPS (2025),Dividend,P/E,Q3 2025,P/B.V,P/E * P/B.V.,Graham No,L.P /G.N,Cash Div 25,Average 5Y,Stock Yeild 25,Average 5Y
MBED,2.82,0.351,0.298,?0.053,?15.10%,0.40,0.15,7.10,2.402,1.17,8.33,4.63,0.61,15.0%,10.8%,5.3%,3.8%
MANE,2.17,0.113,0.143,?0.030,?26.55%,0.19,0.15,11.38,1.598,1.36,15.45,2.62,0.83,15.0%,14.1%,6.9%,6.5%
JTEL,3.06,0.166,0.151,?0.015,?9.04%,0.20,0.18,15.20,1.557,1.97,29.87,2.66,1.15,18.0%,19.5%,5.9%,6.4%
JOIB,4.42,0.249,0.269,?0.020,?8.03%,0.36,0.25,12.32,2.853,1.55,19.09,4.80,0.92,25.0%,24.4%,5.7%,5.5%
JOEP,3.15,0.143,0.192,?0.049,?34.27%,0.26,0.20,12.30,1.637,1.92,23.68,3.07,1.03,20.0%,13.8%,6.3%,4.4%
JOPH,22.73,1.271,1.386,?0.115,?9.05%,1.85,1.60,12.30,6.087,3.73,45.93,15.91,1.43,160.0%,150.0%,7.0%,6.6%
ICAG,0.84,0.053,0.021,?0.032,?60.38%,0.03,0.04,30.00,1.297,0.65,19.43,0.90,0.93,4.0%,5.0%,4.8%,6.0%
TIIC,1.91,0.095,0.156,?0.061,?64.21%,0.21,0.15,9.18,1.559,1.23,11.25,2.70,0.71,15.0%,10.2%,7.9%,5.3%
HPIC,3.12,0.118,0.149,?0.031,?26.27%,0.20,0.18,15.70,3.175,0.98,15.43,3.77,0.83,18.0%,21.3%,5.8%,6.8%
OFTC,1.21,0.043,0.100,?0.057,?132.56%,0.13,0.10,9.08,1.343,0.90,8.18,2.01,0.60,10.0%,3.1%,8.3%,2.6%
DADI,1.14,0.069,0.082,?0.013,?18.84%,0.11,0.08,10.43,1.687,0.68,7.05,2.04,0.56,8.0%,2.6%,7.0%,2.3%
JOPT,5.47,0.494,0.379,?0.115,?23.28%,0.51,0.40,10.82,6.467,0.85,9.16,8.57,0.64,40.0%,43.0%,7.3%,7.9%
FINS,0.82,0.076,0.087,?0.011,?14.47%,0.12,0.10,7.07,1.355,0.61,4.28,1.88,0.44,10.0%,4.4%,12.2%,5.4%
PHIL,1.55,0.076,0.088,?0.012,?15.79%,0.12,0.10,13.21,1.757,0.88,11.65,2.15,0.72,10.0%,7.2%,6.5%,4.6%
UMIC,1.84,0.036,0.009,?0.027,?75.00%,0.01,0.02,153.33,1.388,1.33,203.27,0.61,3.01,2.0%,11.4%,1.1%,6.2%
SHIP,3.20,0.214,0.285,?0.071,?33.18%,0.38,0.30,8.42,2.106,1.52,12.80,4.24,0.75,30.0%,20.0%,9.4%,6.3%
IDMC,1.11,0.046,0.059,?0.013,?28.26%,0.08,0.07,14.11,1.689,0.66,9.27,1.73,0.64,7.0%,N.A,6.3%,N.A
UCIC,1.04,0.043,0.086,?0.043,?100.00%,0.11,0.08,9.07,1.098,0.95,8.59,1.68,0.62,8.0%,N.A,7.7%,N.A
TAJM,0.66,0.019,0.024,?0.005,?26.32%,0.03,0.03,20.63,1.153,0.57,11.81,0.91,0.72,3.0%,N.A,4.5%,N.A
MSFT,0.75,0.039,0.046,?0.007,?17.95%,0.06,0.05,12.23,1.289,0.58,7.11,1.33,0.56,5.0%,N.A,6.7%,N.A
PROF,0.71,0.019,0.048,?0.029,?152.63%,0.06,0.05,11.09,1.092,0.65,7.21,1.25,0.57,5.0%,N.A,7.0%,N.A
,,,,,,,,,,,,,,,Average,6.6%,
Date,11/5/2025,,,,,,,,,,,,,,,,
Book Value For Q3,,,,,,,,,,,,,,,,,
Graham Number,,above it the stock is over priced,,,,,,,,,,,,,,,
L.P /G.N,,last price / Graham Number,,,,,,,,,,,,,,,
Stock Yeild based on last price and the expected dividends for 2025,,,,,,,,,,,,,,,,,
